,Text,Clean Text,Subjectivity,Polarity,Analysis
0,"Russia's cyber threats are placing pressure on the U.S. the Department of Homeland Security completed their largest hiring spree every this past summer, and still needs more employees. Read more about the U.S.'s need for cyber professionals.
#cybersecurity
https://t.co/yGQUkuFSJ6 https://t.co/tw6Rj0nrw3","Russia's cyber threats are placing pressure on the U.S. the Department of Homeland Security completed their largest hiring spree every this past summer, and still needs more employees. Read more about the U.S.'s need for cyber professionals.
cybersecurity
 ",0.4166666666666667,0.25,1
2,"Despite ongoing efforts by organisations to protect their networks, the #Log4j vulnerability will likely remain in systems for a decade or longer, according to a new report from the US Department of Homeland Security. #cybersecurity #infosec https://t.co/uGWOCk7tEa","Despite ongoing efforts by organisations to protect their networks, the Log4j vulnerability will likely remain in systems for a decade or longer, according to a new report from the US Department of Homeland Security. cybersecurity infosec ",0.7272727272727273,0.06818181818181818,1
3,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
4,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
5,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
6,"A computer #vulnerability discovered last year in a ubiquitous piece of software is an “endemic” problem that will pose #security risks for potentially a decade or more, according to a new #cybersecurity panel created by President Joe Biden. #Log4j 

https://t.co/3LA7KdXz4L","A computer vulnerability discovered last year in a ubiquitous piece of software is an “endemic” problem that will pose security risks for potentially a decade or more, according to a new cybersecurity panel created by President Joe Biden. Log4j 

",0.5053030303030303,0.1590909090909091,1
7,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
8,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
10,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
12,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
13,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
15,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
16,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
17,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
18,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
19,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
20,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
21,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
22,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
23,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
24,RT @APFactCheck: How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…, How do we know? The results were subject to numerous audits and reviews. Litigation seeking to challenge the results was u…,0.41666666666666663,-0.08333333333333333,0
